tweet,existence,existence.confidence
lord public lose confid climat chang scienc lead scientist hous lord warn oohja,Yes,0.4944
palin liken global warm studi snake environ,Neutral,0.6685
global warm scientist under investig satelec,Neutral,0.6729
global warm,Neutral,0.7067
goldman salli freddi global govern warm capston,Neutral,0.6613
address global warm skeptic climat,Neutral,0.4027
health remind global warm debat nearli scientist politician agre,Yes,0.6172
blankenship call effort safeti regul silli global warm labor union,No,1.0
twitpic terra record storm washington global warm,No,1.0
legislatur global warm proven resolut question global oohja,Neutral,0.6928
check podcast martel burtynski climat chang cbmzi,Neutral,0.6666
actress orianka kilcher climat chang activ public figur celebr retwt,Neutral,0.6254
studi cool greenland year global warm climat changehttp eapcp,Yes,0.5277
whale could fight climat chang tinyurl teaparti,No,0.6659999999999999
nowplay send smoke signal volcano global warm glenn algor msnbc jimmi carter,No,0.6629999999999999
solv global warm thing,Yes,1.0
allergi jonah goldberg blame global warm magazin allergi wors blame,Yes,1.0
histor storm washington third explain snow heavili global warm immin,No,1.0
third american believ global warm human caus elli april,Neutral,0.7308
vancouv winter olymp pinch climat chang humanitarian retwt,Yes,1.0
whaddayal think feder offic climat chang cifsar,Neutral,0.6432
global warm video youtub watch emhuzaq,Neutral,0.6694
reform intergovernment panel climat chang ctvuih,Yes,0.7473
idea global warm event tomorrow,No,0.6866
brain freez conserv media still use winter weather attack global warm nkecc noisemachin climat,Yes,0.6969
report claim climat chang blame increas allergi,Yes,0.8026
clearli snowmageddon disprov global warm go snow cri uncl,No,1.0
fight climat chang front,Yes,0.6167
need happen global warm make blizzard wors drudg oxilz,Yes,1.0
about omniclim unbear naked climat chang retwt,Neutral,0.7059
fact about global warm today,Yes,0.6467
support environment movement gallup global warm exagger earthlingangst blogspot globalwarm,Yes,0.4403
sharifkoudd indigen group across bolivia arriv world peopl confer climat chang,Neutral,0.7452
climat chang portal could birth entir industri,Yes,1.0
discredit global warm alarmist,No,0.6503
cuccinelli file motion forc reopen global warm find virginia attorney gener cuccinelli,Yes,0.5495
global warm make tree faster,Yes,1.0
watch joseph interview global warm vodpod,No,1.0
obama blame blizzard washington fail polici global warm,Neutral,0.6641
state declar global warm unequivoc primarili human induc american trust washington,No,0.6895
anyon poster global warm,No,0.6731
accept climat chang retwt,Neutral,1.0
bluf there overwhelm consensu among climat scientist basic global warm narr,Yes,1.0
devot articl baseless global warm attack bash argdyw noisemachin climat,No,0.5326
where global warm rebecca terrel newamerican rpsiz,No,1.0
major leagu basebal team throw curv climat chang denier cleantechnica,Neutral,1.0
legisl steamrol kathryn lopez april bloomberg immigr climat chang legisl,Neutral,0.8059999999999999
latest climat chang blunder boldli where stupid befor tinyurl climateg nobama,No,1.0
africa africa global warm group call africa group whose spoke person ethiopian tinyurl africa,Yes,1.0
doubt climat chang humanitarian retwt,Yes,1.0
iceland volcano chang climat while volcano caus chang earth climat recent eruptio,Neutral,0.6136
cochabamba summit offer approach combat climat chang speakeasi retwt,Neutral,0.6829
these peopl storm climat chang climat chang serious idiot,Yes,0.6736
freakonom climateg victim state global warm problem,No,0.6769
preliminari analysi suggest natur could contribut global warm previous,Yes,1.0
close mess freedom thank global warm,Yes,0.7523
climat chang blast greenpeac,No,0.6566
replac wikipedia issu edict climat chang exactli aiaza,Neutral,1.0
background china major polici tackl climat chang sinc,Yes,0.5833
solut environment problem larger stori climat chang ecoeconom,Yes,1.0
grow pentagon focu energi climat chang recent quadrenni defens review aokbh,Neutral,0.6578
climat chang make farmer pastoralist ethiopia increasingli vulner alhpwn earthday,Yes,0.6647
climat chang theori never predict winter would climat,Yes,0.6749
rupert murdoch fact straight climat chang biuhb foxnew globalwarm saveterra,Yes,0.6678
global warm globalwarm,Neutral,0.6531
african meteorolog servic climat chang america,Yes,0.7066
climat suggest global warm assumpt,Neutral,0.5556
make funni global warm,Yes,1.0
climat anthropogen global warm religion climat chang,No,0.4146
graham kibosh climat industri friendli senat global warm legislatio bgsom,Neutral,0.6665
start random fire place speed global warm carbon footprint banana,No,0.6509999999999999
dollar sens climat chang,Neutral,1.0
confer ridg environment center focus climat chang mass representativ,Yes,0.6801
say climat chang possibl unalt model level higher,Yes,0.4701
sadli chuck norri might blizzard climat chang conspiraci,Yes,0.6536
instapundit archiv twelv inch global warm twelv inch global warm sound,Neutral,1.0
african meteorolog servic climat chang america,Yes,0.5944
climb global warm myth take everyday,No,0.7124
water climat chang impact reuter articl iduktr,Yes,0.6522
olymp organ desper climat chang ddynn,Neutral,0.6654
wonder impact volcano iceland climat chang dlvknq,Yes,0.6769
maria rodal climat chang exist matter amaz realli differ view cwrrvb,Neutral,1.0
whitney climat chang climat chang skeptic sing victori,No,1.0
list call global warm fraud douchebag dilusion,Neutral,0.5133
london temperament chang actual famou global warm nearli fuel,No,0.6644
global warm profit obama energi offici,No,0.6885
climat chang faith simon hoggart guardian guardian retwt,Neutral,1.0
green cement tackl global warm biqjnb,Yes,0.6773
religi climat chang slojr,Yes,0.6312
global warm theori,No,0.7538
weathercast divid global warm suzann bohan weather forecast spencer christian meteo aoxwc,Neutral,1.0
soar mercuri blame global warm agartala environmentalist attribut,Yes,0.8009999999999999
mayb want peabrain chief global warm offic,Neutral,0.6455
environment monitor nation instrument increas focu effect climat chang,Yes,0.6651
keeper logbook light climat chang lighthous keeper logbook studi clue oohja xakzo,Yes,1.0
maria rodal nurseri plant earli april global warm given cxplnj,Yes,1.0
anoth blizzard happen global warm pjkit,No,1.0
climat give pollut nuclear break washington reuter climat chang expect,Neutral,0.6920000000000001
gather whiten teeth scream climat chang clinic trial collagen cliniqu,Neutral,1.0
report whale global warm tinyurl,Yes,1.0
professor perspect reason concern climat chang spring connecticut bring renew,Yes,1.0
climat chang denier bobbi jindal mock volcano warn paper late start think,Yes,1.0
short snowmageddon snow obama global warm activist pysgf opendc,Neutral,0.6765
examin climat chang nation secur drvgvf,Neutral,1.0
earthday global warm could affect patient symptom,Yes,1.0
